City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Saskylakh,66,RU,1643682577,100,71.9167,114.0833,-28.91,2.19
Te Anau,100,NZ,1643682578,39,-45.4167,167.7167,76.23,2.06
Lompoc,0,US,1643682580,85,34.6391,-120.4579,60.1,9.22
Port Augusta,100,AU,1643682581,55,-32.5,137.7667,78.71,20.74
Zavoronezhskoye,100,RU,1643682583,94,52.8801,40.5526,28.13,13.69
Ponta do Sol,13,PT,1643682584,83,32.6667,-17.1,65.03,12.59
Husavik,100,IS,1643682586,90,66.0449,-17.3389,22.91,16.17
Huautla,11,MX,1643682587,86,21.0333,-98.2833,62.22,3.18
General Roca,0,AR,1643682588,17,-39.0333,-67.5833,74.62,9.42
Shitanjing,12,CN,1643682590,22,39.2342,106.3439,15.66,0.36
Adjumani,100,UG,1643682435,45,3.3779,31.7909,73.67,0.87
Klaksvík,100,FO,1643682594,80,62.2266,-6.589,43.72,43.82
Vila do Maio,100,CV,1643682595,81,15.1333,-23.2167,70.59,20.27
Praia da Vitória,75,PT,1643682597,88,38.7333,-27.0667,59.76,18.88
Laguna de Perlas,34,NI,1643682600,74,12.3429,-83.6712,74.91,12.24
Yaan,54,NG,1643682602,20,7.3833,8.5667,70.41,5.73
Port-Gentil,93,GA,1643682604,77,-0.7193,8.7815,80.49,6.85
Gra Lygia,50,GR,1643682607,70,35.0167,25.6833,56.12,7.0
Pangody,96,RU,1643682608,100,65.85,74.4859,-12.28,5.23
Kastamonu Province,96,TR,1643682362,94,41.5,33.6667,18.5,0.76
Khatanga,18,RU,1643682613,100,71.9667,102.5,-29.7,3.47
Pisco,100,PE,1643682614,78,-13.7,-76.2167,71.65,12.66
Keelung,100,TW,1643682615,81,25.1283,121.7419,66.09,10.8
Chokurdakh,100,RU,1643682617,95,70.6333,147.9167,-12.77,1.57
Margate,93,GB,1643682387,82,51.3813,1.3862,43.03,3.0
Moose Factory,100,CA,1643682620,60,51.2585,-80.6094,3.2,9.22
Isangel,75,VU,1643682621,89,-19.55,169.2667,84.31,5.75
Bambanglipuro,89,ID,1643682623,69,-7.95,110.2833,73.6,6.22
Taicheng,1,CN,1643682624,29,38.731,113.228,20.19,4.18
Flinders,27,AU,1643682626,67,-34.5833,150.8552,94.8,4.0
Mar del Plata,0,AR,1643682609,55,-38.0023,-57.5575,64.87,1.01
Denia,1,ES,1643682629,44,38.8408,0.1057,55.47,5.01
Kumba,83,CM,1643682630,81,4.6363,9.4469,71.04,1.25
Kerema,100,PG,1643682632,72,-7.9631,145.7785,81.7,6.51
Fortuna,100,US,1643682633,81,40.5982,-124.1573,48.47,3.0
Cayenne,75,GF,1643682377,83,4.9333,-52.3333,80.1,5.99
Poum,42,NC,1643682636,75,-20.2333,164.0167,81.07,16.4
Maridi,85,SS,1643682638,32,4.9158,29.4742,69.75,2.8
Souillac,75,MU,1643682641,78,-20.5167,57.5167,79.36,18.41
Lagoa,38,PT,1643682643,75,39.05,-27.9833,58.87,22.37
Qaanaaq,3,GL,1643682645,46,77.484,-69.3632,-19.59,10.42
Nālūt,68,LY,1643682646,37,30.3333,10.85,44.69,10.4
Port Macquarie,5,AU,1643682648,64,-31.4333,152.9167,87.76,10.29
Wichian Buri,22,TH,1643682649,58,15.6578,101.106,84.76,7.81
Grindavik,100,IS,1643682652,93,63.8424,-22.4338,32.47,25.32
Olafsvik,80,IS,1643682653,81,64.8945,-23.7142,23.5,7.7
Bambous Virieux,75,MU,1643682655,78,-20.3428,57.7575,79.21,18.41
College,0,US,1643682656,71,64.8569,-147.8028,-15.41,0.0
Kahului,20,US,1643682658,58,20.8947,-156.47,82.42,8.05
São Filipe,100,CV,1643682659,72,14.8961,-24.4956,73.58,16.87
Upernavik,99,GL,1643682661,99,72.7868,-56.1549,-20.67,6.22
Semīrom,100,IR,1643682649,98,31.4167,51.5667,29.3,4.32
Egvekinot,96,RU,1643682664,69,66.3167,-179.1667,0.28,14.41
San Cristobal,98,VE,1643682665,86,7.7669,-72.225,69.98,2.1
Lufkin,0,US,1643682667,85,31.3382,-94.7291,58.84,6.91
Bandarbeyla,69,SO,1643682668,80,9.4942,50.8122,75.38,12.19
Tuktoyaktuk,40,CA,1643682669,69,69.4541,-133.0374,-16.6,2.3
San Patricio,99,US,1643682671,91,28.017,-97.5169,66.29,10.04
Belle Fourche,97,US,1643682672,71,44.6714,-103.8522,38.08,25.79
Harper,88,LR,1643682674,85,4.375,-7.7169,77.68,3.09
Uyemskiy,75,RU,1643682675,86,64.4743,40.8524,17.65,6.71
Batagay,93,RU,1643682677,98,67.6333,134.6333,-27.36,1.16
Gorontalo,15,ID,1643682403,54,0.5412,123.0595,88.81,3.04
Los Llanos de Aridane,0,ES,1643682679,57,28.6585,-17.9182,56.95,8.01
Crib Point,95,AU,1643682681,71,-38.35,145.2,75.38,18.59
Newcastleton,100,GB,1643682682,97,55.1796,-2.8127,49.28,14.97
Nishihara,75,JP,1643682684,58,26.1842,127.7558,65.48,10.36
Tessalit,8,ML,1643682685,10,20.1986,1.0114,61.38,9.26
Atar,100,MR,1643682687,14,20.5169,-13.0499,77.77,9.66
Gao,97,ML,1643682688,9,16.6362,1.637,60.85,13.76
Florø,75,NO,1643682539,93,61.5996,5.0328,31.96,12.66
Umm Kaddadah,25,SD,1643682691,31,13.6017,26.6876,52.23,16.13
Bauchi,6,NG,1643682692,31,10.5,10.0,53.8,3.38
Villamontes,100,BO,1643682694,78,-21.25,-63.5,72.82,6.42
Esperance,57,AU,1643682696,51,-33.8667,121.9,67.84,16.53
Dauphin,100,CA,1643682697,92,51.1494,-100.0502,14.14,14.97
Abu Dhabi,100,AE,1643682699,92,24.4667,54.3667,66.96,2.3
Bathsheba,20,BB,1643682700,83,13.2167,-59.5167,77.61,14.97
Katsuura,91,JP,1643682702,47,35.1333,140.3,46.51,7.45
Popondetta,100,PG,1643682703,56,-8.7537,148.2534,89.69,4.21
Eureka,40,US,1643682705,81,40.8021,-124.1637,48.74,10.0
Sampit,100,ID,1643682706,59,-2.5333,112.95,87.53,3.91
Tieli,100,CN,1643682708,92,46.95,128.05,0.43,3.76
São Gabriel da Cachoeira,93,BR,1643682709,79,-0.1303,-67.0892,76.08,0.69
São João da Barra,100,BR,1643682710,90,-21.6403,-41.0511,76.28,9.53
Lensk,100,RU,1643682710,92,60.7253,114.9278,-0.53,6.8
Tighina,100,MD,1643682713,71,46.8306,29.4711,33.28,0.13
Moussoro,0,TD,1643682715,19,13.6408,16.4901,55.47,13.06
Omboué,72,GA,1643682716,87,-1.5746,9.2618,77.13,3.89
Santa Rosa,69,PH,1643682433,63,14.3122,121.1114,85.08,15.39
Ozernovskiy,72,RU,1643682719,71,51.5,156.5167,25.99,12.1
Hasaki,100,JP,1643682720,37,35.7333,140.8333,45.0,1.21
Ussel,52,FR,1643682722,88,45.55,2.3167,31.08,7.31
Sebezh,100,RU,1643682725,95,56.2955,28.4654,20.61,6.8
Nome,0,US,1643682726,49,64.5011,-165.4064,17.67,12.66
El Batey,75,DO,1643682728,94,19.7667,-70.5167,73.38,0.0
Avera,20,US,1643682729,55,33.194,-82.5271,43.72,5.17
Berdigestyakh,100,RU,1643682730,95,62.0989,126.6992,-14.78,7.2
Longyearbyen,40,SJ,1643682732,73,78.2186,15.6401,12.04,10.36
Malayal,100,PH,1643682733,65,7.208,121.942,85.8,2.86
Honiara,73,SB,1643682735,80,-9.4333,159.95,84.33,4.52
West Wendover,20,US,1643682738,53,40.7391,-114.0733,29.62,4.18
Talnakh,98,RU,1643682739,94,69.4865,88.3972,6.21,8.81
Alice Springs,75,AU,1643682741,70,-23.7,133.8833,83.75,12.66
Carnarvon,12,AU,1643682743,48,-24.8667,113.6333,89.67,17.27
Manavālakurichi,3,IN,1643682744,71,8.1333,77.3,78.89,8.19
Atambua,54,ID,1643682746,78,-9.1061,124.8925,78.58,15.05
Bismarck,40,US,1643682747,88,46.8083,-100.7837,38.8,9.22
Kuytun,98,RU,1643682749,98,54.3419,101.5036,-7.38,1.9
Dzhebariki-Khaya,97,RU,1643682750,95,62.2167,135.8,-22.04,1.19
Baijiantan,98,CN,1643682752,91,45.6333,85.1833,5.58,3.38
Cabo San Lucas,0,MX,1643682753,59,22.8909,-109.9124,70.9,1.01
Punta Alta,15,AR,1643682754,29,-38.8759,-62.0736,68.85,13.42
Härnösand,100,SE,1643682612,87,62.6323,17.9379,12.2,6.85
Morros,82,BR,1643682757,72,-9.4467,-46.3003,75.51,2.86
Dauriya,57,RU,1643682759,96,49.9333,116.8667,-10.93,3.2
Berlevåg,43,NO,1643682760,75,70.8578,29.0864,22.14,9.35
Jiuquan,96,CN,1643682763,24,39.7432,98.5174,19.74,1.83
La Ronge,100,CA,1643682764,66,55.1001,-105.2842,1.65,16.11
Isla Mujeres,12,MX,1643682766,64,21.2311,-86.731,69.85,14.83
Rock Springs,0,US,1643682767,48,41.5875,-109.2029,24.24,8.99
Warrenton,99,ZA,1643682769,86,-28.114,24.8475,65.39,6.89
Portland,75,US,1643682770,87,45.5234,-122.6762,43.9,1.01
Coahuayana Viejo,0,MX,1643682771,88,18.7333,-103.6833,80.08,2.19
Iberia,0,US,1643682773,63,29.9502,-91.7507,62.67,11.5
Namchi,96,IN,1643682775,88,27.1667,88.35,45.57,1.7
Ancud,82,CL,1643682778,88,-41.8697,-73.8203,57.22,6.51
Touros,46,BR,1643682779,75,-5.1989,-35.4608,76.1,12.21
Yerbogachën,89,RU,1643682780,99,61.2767,108.0108,-11.24,2.93
Kumul,33,CN,1643682782,35,42.8,93.45,22.93,1.68
Itaqui,0,BR,1643682783,40,-29.1253,-56.5531,76.66,11.23
Itupiranga,100,BR,1643682785,98,-5.1347,-49.3267,70.99,0.38
Shubarkuduk,100,KZ,1643682786,89,49.1447,56.4872,22.05,12.55
Khandyga,93,RU,1643682788,95,62.6667,135.6,-23.73,0.6
Tolaga Bay,89,NZ,1643682789,68,-38.3667,178.3,71.96,16.75
Plettenberg Bay,100,ZA,1643682790,80,-34.0527,23.3716,73.53,3.09
Ambon City,96,ID,1643682792,68,-3.6954,128.1814,85.77,17.38
Kloulklubed,100,PW,1643682793,74,7.0419,134.2556,82.9,16.4
Slave Lake,20,CA,1643682795,77,55.2834,-114.769,-4.02,8.05
Chamonix,93,FR,1643682609,97,45.9238,6.8693,31.35,3.2
Zhoucheng,1,CN,1643682798,20,35.9122,116.3117,36.16,6.29
Thunder Bay,100,CA,1643682799,85,48.4001,-89.3168,32.56,8.05
Kutum,1,SD,1643682802,31,14.2,24.6667,46.42,7.4
Whitehorse,0,CA,1643682803,77,60.7161,-135.0538,-12.23,6.91
Kurumkan,80,RU,1643682805,95,54.3,110.3,-11.09,1.14
Honningsvåg,100,NO,1643682806,76,70.9821,25.9704,28.47,11.52
Smoky Lake,98,CA,1643682809,77,54.1169,-112.4686,-3.24,9.22
Ust-Nera,100,RU,1643682811,98,64.5667,143.2,-0.63,3.42
Hong Kong,100,HK,1643682711,88,22.2855,114.1577,57.33,1.01
Manado,20,ID,1643682814,70,1.487,124.8455,86.77,6.91
Tadine,100,NC,1643682815,73,-21.55,167.8833,80.82,5.61
Westport,0,US,1643682818,68,41.1415,-73.3579,24.57,1.99
Luwuk,78,ID,1643682568,57,-0.9516,122.7875,87.53,1.66
Buraidah,0,SA,1643682821,37,26.326,43.975,50.45,14.27
Qaqortoq,100,GL,1643682822,80,60.7167,-46.0333,25.3,14.63
Chuchar-kana Mandi,0,PK,1643682824,69,31.75,73.8,44.71,4.59
Zverinogolovskoye,97,RU,1643682825,97,54.4586,64.8542,9.0,6.42
Zhuhai,40,CN,1643682830,93,22.2769,113.5678,57.06,19.57
Maragogi,27,BR,1643682831,82,-9.0122,-35.2225,77.85,6.4
Jumla,3,NP,1643682832,46,29.2747,82.1838,37.04,3.15
Oranjemund,0,NA,1643682834,91,-28.55,16.4333,65.39,8.03
Denizli Province,100,TR,1643682814,78,37.8402,29.0698,25.65,4.32
Auki,76,SB,1643682837,68,-8.7676,160.7034,85.48,5.73
Bereda,13,ES,1643682838,100,43.2686,-7.5406,44.42,6.87
Santa Cruz de Barahona,81,DO,1643682839,83,18.2085,-71.1008,74.26,2.8
Øksfjord,100,NO,1643682841,80,70.2396,22.3479,18.52,7.85
Rajshahi,2,BD,1643682842,47,24.3667,88.6,65.57,4.79
Farafangana,21,MG,1643682844,86,-22.8167,47.8333,74.34,4.56
Udachny,71,RU,1643682845,100,66.4167,112.4,-34.49,3.38
Amlapura,44,ID,1643682847,65,-8.45,115.6167,86.88,2.73
Kirakira,85,SB,1643682848,77,-10.4544,161.9205,83.53,5.53
Dholka,0,IN,1643682849,72,22.7167,72.4667,61.18,2.3
Rome,0,US,1643682592,77,43.2128,-75.4557,15.84,0.0
Clyde River,100,CA,1643682854,68,70.4692,-68.5914,-25.37,2.3
Warrnambool,69,AU,1643682855,65,-38.3833,142.4833,67.8,20.85
Eyl,93,SO,1643682857,77,7.9803,49.8164,75.94,13.87
Kankaanpää,61,FI,1643682858,94,61.8,22.4167,9.81,5.01
Coquimbo,100,CL,1643682629,77,-29.9533,-71.3436,64.13,6.91
Mahébourg,75,MU,1643682861,78,-20.4081,57.7,79.25,18.41
Tuy Hoa,61,VN,1643682862,87,13.0833,109.3,75.96,10.11
Itaituba,54,BR,1643682602,98,-4.2761,-55.9836,72.36,1.61
Samarai,100,PG,1643682865,66,-10.6167,150.6667,87.1,11.9
Chulym,94,RU,1643682866,97,55.0997,80.9572,9.59,9.46
Okhotsk,100,RU,1643682868,78,59.3833,143.3,9.28,15.3
Calvinia,0,ZA,1643682618,72,-31.4707,19.776,70.92,3.18
Gort,100,IE,1643682872,93,53.0664,-8.8167,47.95,16.82
Vostok,100,RU,1643682731,84,46.4856,135.8833,6.69,5.1
Tuatapere,100,NZ,1643682875,45,-46.1333,167.6833,68.83,2.46
Bowen,8,AU,1643682876,70,-20.0167,148.2333,89.82,10.18
Albemarle,0,US,1643682878,74,35.3501,-80.2001,45.16,0.0
Bibiani,100,GH,1643682880,79,6.4635,-2.3194,63.99,0.83
Ilulissat,20,GL,1643682881,78,69.2167,-51.1,5.02,8.05
Gijang,38,KR,1643682883,39,35.2442,129.2139,42.53,17.47
Ostrovnoy,100,RU,1643682884,95,68.0531,39.5131,15.13,3.69
Lethem,15,GY,1643682886,63,3.3803,-59.7968,80.08,10.98
Montrose,63,US,1643682685,51,38.4166,-108.2673,30.54,4.72
Kota,0,IN,1643682888,51,25.1833,75.8333,64.36,3.13
Tongling,96,CN,1643682890,55,30.95,117.7833,43.93,12.64
Arlit,0,NE,1643682891,21,18.7369,7.3853,52.79,4.59
Suba,100,PH,1643682893,81,10.8438,121.0102,80.85,22.88
Comodoro Rivadavia,47,AR,1643682823,32,-45.8667,-67.5,67.86,32.21
El Alto,100,PE,1643682896,76,-4.2714,-81.2147,71.1,3.78
Soyo,99,AO,1643682897,88,-6.1349,12.3689,77.83,6.29
Tasiilaq,80,GL,1643682898,89,65.6145,-37.6368,10.56,8.14
Rāvar,8,IR,1643682900,36,31.2656,56.8055,47.48,4.05
Bilma,0,NE,1643682901,25,18.6853,12.9164,50.94,4.12
Mitú,99,CO,1643682903,69,1.1983,-70.1733,71.55,2.39
Santiago,0,CL,1643682636,45,-33.4569,-70.6483,71.85,13.8
Mahon,100,ES,1643682906,66,39.8885,4.2658,50.56,31.07
Kiyasovo,100,RU,1643682907,96,56.3491,53.1244,27.82,13.87
Goderich,7,CA,1643682908,63,43.7501,-81.7165,21.52,8.05
Ṭikāpur,0,NP,1643682910,67,28.5,81.1333,57.4,2.51
Saldanha,7,ZA,1643682911,91,-33.0117,17.9442,62.65,8.59
Río Gallegos,0,AR,1643682913,61,-51.6226,-69.2181,48.25,27.63
Alta Floresta,100,BR,1643682914,97,-9.8756,-56.0861,70.54,1.45
Taoudenni,4,ML,1643682915,8,22.6783,-3.9836,64.72,11.01
Karratha,100,AU,1643682917,47,-20.7377,116.8463,94.28,12.8
Abalak,84,RU,1643682918,100,58.1286,68.5944,-8.19,3.6
Caravelas,46,BR,1643682920,91,-17.7125,-39.2481,77.32,8.3
Tres Arroyos,6,AR,1643682921,33,-38.3739,-60.2798,57.67,13.06
Faya,10,SA,1643682924,81,18.3851,42.4509,52.32,4.41
Wawa,47,NG,1643682925,22,9.9022,4.4192,69.66,5.82
Acapulco de Juárez,20,MX,1643682757,69,16.8634,-99.8901,80.42,9.22
Kismayo,92,SO,1643682928,81,-0.3582,42.5454,76.39,11.01
Sabang,100,ID,1643682930,73,5.8933,95.3214,82.02,12.59
Ginda,5,IN,1643682931,28,30.6945,78.4932,41.04,5.37
Requena,3,ES,1643682932,62,39.4883,-1.1004,48.7,13.98
Waipawa,94,NZ,1643682934,55,-41.4122,175.5153,74.03,8.08
Omsukchan,100,RU,1643682935,96,62.5333,155.8,-3.12,7.02
Yulara,100,AU,1643682937,100,-25.2406,130.9889,71.44,10.36
Waingapu,13,ID,1643682938,62,-9.6567,120.2641,86.97,19.04
Camiri,100,BO,1643682940,95,-20.05,-63.5167,67.19,2.95
Ambositra,100,MG,1643682941,96,-20.5167,47.25,61.41,2.42
Leh,99,IN,1643682942,93,34.1667,77.5833,5.07,2.77
Albanel,43,CA,1643682945,69,48.8832,-72.4487,-16.46,4.61
Grand Gaube,99,MU,1643682947,70,-20.0064,57.6608,79.38,5.99
Bani Walid,100,LY,1643682948,28,31.7566,13.9942,52.65,14.54
